0.000000 0.100000 1.000000 -1.000000
0.100000 0.200000 0.900000 -1.100000
0.200000 0.290000 0.790000 -1.100000
0.300000 0.369000 0.680000 -1.080000
0.400000 0.437000 0.572000 -1.049000
0.500000 0.494200 0.467100 -1.009000
0.600000 0.540910 0.366200 -0.961300
0.700000 0.577530 0.270070 -0.907110
0.800000 0.604537 0.179359 -0.847600
0.900000 0.622473 0.094599 -0.783896
1.000000 0.631933 0.016209 -0.717072
1.100000 0.633554 -0.055498 -0.648142
1.200000 0.628004 -0.120312 -0.578056
1.300000 0.615973 -0.178118 -0.507692
1.400000 0.598161 -0.228887 -0.437855
1.500000 0.575272 -0.272672 -0.369274
1.600000 0.548005 -0.309600 -0.302600
1.700000 0.517045 -0.339860 -0.238405
1.800000 0.483059 -0.363700 -0.177185
1.900000 0.446689 -0.381419 -0.119359
2.000000 0.408547 -0.393355 -0.065270
2.100000 0.369212 -0.399882 -0.015193
2.200000 0.329224 -0.401401 0.030670
2.300000 0.289083 -0.398334 0.072177
2.400000 0.249250 -0.391116 0.109250
2.500000 0.210138 -0.380191 0.141866
2.600000 0.172119 -0.366005 0.170053
2.700000 0.135519 -0.348999 0.193885
2.799999 0.100619 -0.329611 0.213480
2.899999 0.067658 -0.308263 0.228992
2.999999 0.036832 -0.285364 0.240605
3.099999 0.008295 -0.261303 0.248532
3.199999 -0.017835 -0.236450 0.253008
3.299999 -0.041480 -0.211149 0.254285
3.399999 -0.062595 -0.185721 0.252629
3.499999 -0.081167 -0.160458 0.248316
3.599999 -0.097213 -0.135626 0.241625
3.699999 -0.110775 -0.111464 0.232839
3.799999 -0.121922 -0.088180 0.222239
3.899998 -0.130740 -0.065956 0.210102
3.999998 -0.137335 -0.044946 0.196696
4.099998 -0.141830 -0.025276 0.182281
4.199998 -0.144358 -0.007048 0.167106
4.299998 -0.145062 0.009663 0.151406
4.399998 -0.144096 0.024803 0.135400
4.499998 -0.141616 0.038343 0.119293
4.599998 -0.137781 0.050272 0.103273
4.699998 -0.132754 0.060600 0.087509
4.799998 -0.126694 0.069351 0.072155
4.899998 -0.119759 0.076566 0.057344
4.999998 -0.112103 0.082300 0.043193
5.099998 -0.103873 0.086620 0.029802
5.199997 -0.095211 0.089600 0.017253
5.299997 -0.086251 0.091325 0.005611
5.399997 -0.077118 0.091886 -0.005075
5.499997 -0.067929 0.091379 -0.014768
5.599997 -0.058792 0.089902 -0.023449
5.699997 -0.049801 0.087557 -0.031110
5.799997 -0.041046 0.084446 -0.037756
5.899997 -0.032601 0.080670 -0.043400
5.999997 -0.024534 0.076330 -0.048069
6.099997 -0.016901 0.071523 -0.051796
6.199996 -0.009749 0.066344 -0.054623
6.299996 -0.003114 0.060882 -0.056595
6.399996 0.002974 0.055222 -0.057767
6.499996 0.008496 0.049445 -0.058196
6.599996 0.013441 0.043626 -0.057941
6.699996 0.017803 0.037832 -0.057066
6.799996 0.021586 0.032125 -0.055635
6.899996 0.024799 0.026561 -0.053711
6.999996 0.027455 0.021190 -0.051360
7.099996 0.029574 0.016054 -0.048645
7.199996 0.031179 0.011190 -0.045628
7.299995 0.032298 0.006627 -0.042369
7.399995 0.032961 0.002390 -0.038925
7.499995 0.033200 -0.001503 -0.035351
7.599995 0.033050 -0.005038 -0.031698
7.699995 0.032546 -0.008207 -0.028012
7.799995 0.031725 -0.011009 -0.024339
7.899995 0.030625 -0.013443 -0.020717
7.999995 0.029280 -0.015514 -0.017182
8.099995 0.027729 -0.017232 -0.013766
8.199995 0.026006 -0.018609 -0.010496
8.299995 0.024145 -0.019659 -0.007397
8.399996 0.022179 -0.020398 -0.004486
8.499996 0.020139 -0.020847 -0.001781
8.599997 0.018054 -0.021025 0.000708
8.699997 0.015952 -0.020954 0.002971
8.799997 0.013856 -0.020657 0.005002
8.899998 0.011791 -0.020157 0.006801
8.999998 0.009775 -0.019477 0.008366
9.099998 0.007827 -0.018640 0.009702
9.199999 0.005963 -0.017670 0.010813
9.299999 0.004196 -0.016589 0.011707
